,fips,EP_Percent2020,MP_Percent2020,BP_Percent2020,Cath_Percent2020,Orth_Percent2020,Other_Percent2020,Islam_Percent2020,Jewish_Percent2020,Hindu_Percent2020,Budd_Percent2020,4_clusters,5_clusters,6_clusters,7_clusters,8_clusters
1928,37061,23.12,6.43,7.47,1.67,0.0,2.53,0.0,0.0,0.0,0.0,Pluralistic,EP-Less,EP-Less,EP-Less,EP-Least
1929,37063,20.53,7.77,3.61,6.82,0.44,2.13,2.54,0.87,0.03,0.18,Pluralistic,Pluralistic,Pluralistic,Pluralistic,Pluralistic
1930,37065,23.39,4.18,7.67,1.17,0.0,3.1,0.0,0.0,0.0,0.0,Pluralistic,EP-Less,EP-Less,EP-Less,EP-Least
1931,37067,35.56,15.3,4.71,11.74,0.45,2.13,0.98,0.0,0.03,0.0,EP,EP-Less,EP-Less,EP-Less,EP-Least
1932,37069,19.96,2.83,4.3,2.89,0.0,2.65,0.0,0.0,0.0,0.0,Pluralistic,EP-Less,Pluralistic,Pluralistic,Pluralistic
1933,37071,36.3,7.79,3.19,6.82,0.01,1.47,1.39,0.0,0.0,0.0,EP,EP-Less,EP-Less,EP-Less,EP-Least
1934,37073,38.46,4.65,5.21,0.0,0.0,0.02,0.0,0.0,0.0,0.0,EP,EP-Less,EP-Less,EP-Less,EP-Less
1935,37075,29.35,3.28,1.49,3.65,0.0,0.0,0.0,0.0,0.0,0.0,EP,EP-Less,EP-Less,EP-Less,EP-Least
1936,37077,38.07,4.41,3.46,3.52,0.0,1.49,0.0,0.0,0.0,0.0,EP,EP-Less,EP-Less,EP-Less,EP-Less
1937,37079,14.49,4.13,5.35,0.0,0.0,2.48,0.0,0.0,0.0,0.0,Pluralistic,Pluralistic,Pluralistic,Pluralistic,Pluralistic
1938,37081,24.11,10.54,3.87,8.33,0.15,2.16,1.78,0.46,0.36,0.11,Pluralistic,EP-Less,EP-Less,EP-Less,EP-Least
1939,37083,24.19,8.22,8.7,1.1,0.0,2.48,0.0,0.0,0.0,0.0,Pluralistic,EP-Less,EP-Less,EP-Less,EP-Least
1940,37085,23.73,5.73,3.08,0.63,0.0,1.67,0.0,0.0,0.0,0.97,Pluralistic,EP-Less,EP-Less,EP-Less,EP-Least
1941,37087,40.85,13.69,0.79,4.31,0.05,1.55,0.0,0.0,0.09,0.0,EP,EP-Less,EP-Less,EP-Less,EP-Less
1942,37089,27.59,7.4,0.47,10.92,0.07,2.49,0.0,0.21,0.11,0.09,Pluralistic,EP-Less,EP-Less,EP-Less,EP-Least
1943,37091,42.29,2.93,9.62,1.84,0.0,0.81,0.0,0.0,0.0,0.0,EP,EP-Less,EP-Less,EP-Less,EP-Less
1944,37093,16.45,2.21,4.57,1.95,0.0,0.96,3.08,0.0,0.0,0.0,Pluralistic,Pluralistic,Pluralistic,Pluralistic,Pluralistic
1945,37095,12.92,13.73,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,Pluralistic,Pluralistic,Pluralistic,Pluralistic,Pluralistic
1946,37097,26.27,10.75,2.55,10.41,0.12,1.76,1.78,0.04,0.0,0.0,Pluralistic,EP-Less,EP-Less,EP-Less,EP-Least
1947,37099,26.79,6.15,0.45,5.81,0.0,2.07,0.0,0.0,0.0,0.0,Pluralistic,EP-Less,EP-Less,EP-Less,EP-Least
1948,37101,18.72,5.42,1.5,9.75,0.0,2.01,1.55,0.0,0.0,0.0,Pluralistic,Pluralistic,Pluralistic,Pluralistic,Pluralistic
1949,37103,17.74,10.16,8.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pluralistic,Pluralistic,Pluralistic,Pluralistic,Pluralistic
1950,37105,22.17,8.69,3.74,10.9,0.0,3.11,0.0,0.0,0.0,0.0,Pluralistic,Pluralistic,Pluralistic,Pluralistic,Pluralistic
